Company;Total games;Published games;Avg owners...4;Developed games;Avg owners...6
NA;28,209;585;110000;0;0
Milestone S.r.l.;1,000;1;35000;0;0
072 Project;1,000;0;0;0;0
101XP;1,000;1;150000;0;0
101XP;4,000;0;0;0;0
2:30 AM Studios;3,000;1;10000;0;0
2Awesome Studio;1,000;0;0;0;0
2MenStudio;1,000;0;0;0;0
2tainment GmbH;1,000;1;10000;0;0
3to1 Games;1,000;0;0;0;0
5WORD Team;1,000;1;35000;0;0
7TaleZ;1,000;0;0;0;0
8Floor;2,000;2;10000;0;0
A Few Rounds Games;1,000;0;0;0;0
AbraxousStudios;1,000;0;0;0;0
Abyte Entertainment;1,000;0;0;0;0
access computer services ltd;1,000;0;0;0;0
Aerosoft GmbH;1,000;0;0;0;0
AFBIK Studio;3,000;3;10000;0;0
Aged Immortals;1,000;0;0;0;0
Ahlquist Interactive;1,000;0;0;0;0
Aigi Studios;1,000;1;75000;0;0
AIRLIB Co., Ltd.;1,000;0;0;0;0
AK Studio;1,000;1;10000;0;0
ALEKSANDER CHEPAIKIN;1,000;1;10000;0;0
Alon Zubina;1,000;1;10000;0;0
Alternative Reality Games 2015;1,000;1;35000;0;0
Andrew Nutter666 Jaggar;1,000;1;10000;0;0
Angel Star Studios;1,000;0;0;0;0
Angry Bulls Studio;1,000;0;0;0;0
Ani4Bio Animated;1,000;0;0;0;0
Anime Mania;1,000;0;0;0;0
AnimicGame;1,000;1;10000;0;0
Another Reality;1,000;0;0;0;0
Aoga Games;2,000;2;10000;0;0
AplusGames;1,000;1;10000;0;0
ApocalypseToday;1,000;0;0;0;0
Aquiris Game Studio;1,000;0;0;0;0
Arbatskii Anatolii;3,000;0;0;0;0
Arkuda Inc.;2,000;0;0;0;0
Art Games Studio S.A.;2,000;1;10000;0;0
Asset Flip Studio;1,000;1;75000;0;0
Aurora borealis;20,000;0;0;0;0
Aurora software;1,000;1;10000;0;0
Banana Spilt;1,000;0;0;0;0
BANDAI NAMCO Entertainment;1,000;0;0;0;0
Bantik Games;1,000;0;0;0;0
BanzaiProject;1,000;0;0;0;0
BBB Games;1,000;1;35000;0;0
BD Games;2,000;0;0;0;0
Beach Day Studios;1,000;1;10000;0;0
Bear in the Night;3,000;1;35000;0;0
BIFROST CLOUD PTE. LTD.;3,000;0;0;0;0
Big Fish Games;1,000;1;35000;0;0
Bitesize Games;1,000;0;0;0;0
Black Hole;1,000;0;0;0;0
Black Maple Games;1,000;0;0;0;0
BlackIsland Studio;1,000;0;0;0;0
Blizzard Entertainment, Inc.;2,000;1;350000;0;0
Bloober Team SA;1,000;0;0;0;0
Bloody Vulpine;1,000;0;0;0;0
Blowfish Studios;1,000;0;0;0;0
Blue Cat studio;1,000;0;0;0;0
Blue Isle Publishing;1,000;0;0;0;0
Blue Wizard Digital;1,000;0;0;0;0
Bomb Squad Games;1,000;0;0;0;0
Bonus Stage Publishing;3,000;0;0;0;0
Bot Rods;1,000;0;0;0;0
Brain Pump;1,000;0;0;0;0
Brainchild;1,000;0;0;0;0
Breda University of Applied Sciences;5,000;0;0;0;0
Bry Guy Studios;2,000;1;10000;0;0
BUG DUCK GAMES;1,000;0;0;0;0
Burning Planet Digital;1,000;0;0;0;0
ByteTeam;1,000;0;0;0;0
Caipirinha Games GmbH;1,000;1;10000;0;0
Campfire Studio;1,000;0;0;0;0
CAPCOM CO., LTD.;1,000;0;0;0;0
Casioqu;1,000;0;0;0;0
Casual Trash Studios;1,000;1;35000;0;0
CatGirl_Studio;1,000;0;0;0;0
Catness Game Studios SL;3,000;1;150000;0;0
Catnip studio;2,000;0;0;0;0
CE-Asia;1,000;0;0;0;0
Centrosphere Games;1,000;0;0;0;0
CHAOSMORE WORKS;1,000;0;0;0;0
Charge Game Studio;1,000;1;10000;0;0
Chaystar Unlimited LLC;2,000;0;0;0;0
Chilling Moose Games;1,000;0;0;0;0
CINEMAX, s.r.o.;1,000;0;0;0;0
Clouded Leopard Entertainment;1,000;0;0;0;0
Coconut Island Games;1,000;0;0;0;0
CodeRed Studio;1,000;0;0;0;0
Codevilstudios;1,000;0;0;0;0
Confused Pigeon Studios;1,000;0;0;0;0
Conglomerate 5;17,000;17;30000;0;0
CoolCraftGames;2,000;2;10000;0;0
CosCom Art Group;1,000;0;0;0;0
CoughCat Software;1,000;1;10000;0;0
Cozy Live;1,000;0;0;0;0
Crabby Team;1,000;0;0;0;0
CreativeForge Games;6,000;1;75000;0;0
Creepy Pixel Studio;1,000;0;0;0;0
Crew Lab;2,000;1;10000;0;0
CRITICAL REFLEX;1,000;0;0;0;0
CritoGames;1,000;0;0;0;0
Crytivo;2,000;0;0;0;0
CS Game;1,000;0;0;0;0
Cyber Pineapple;1,000;0;0;0;0
D20Studios, LLC;1,000;0;0;0;0
Daedalic Entertainment;1,000;0;0;0;0
Dagestan Technology;1,000;1;10000;0;0
Dallen Larson Games, LLC;1,000;0;0;0;0
DANGEN Entertainment;1,000;0;0;0;0
David J Ozsvath;1,000;1;10000;0;0
Dedicated Humanitarian;1,000;0;0;0;0
Deep Games;1,000;0;0;0;0
deepglugs;1,000;0;0;0;0
Demo Disk Productions;1,000;0;0;0;0
Demon Girl;1,000;0;0;0;0
derevotyan;1,000;0;0;0;0
Devolver DIgital;1,000;0;0;0;0
Diamond Cats Studio;3,000;1;10000;0;0
Dieselmine;2,000;0;0;0;0
Digital Pourpre Studio;1,000;0;0;0;0
DigitalDream;4,000;4;60000;0;0
Doublequote Studio;1,000;0;0;0;0
Dovetail Games - Flight;11,000;0;0;0;0
Dovetail Games - TSW;1,000;0;0;0;0
Draknek & Friends;1,000;0;0;0;0
Dread XP;1,000;0;0;0;0
DreadXP;1,000;0;0;0;0
Dream Comic;1,000;1;10000;0;0
Dream Stories;1,000;0;0;0;0
DreamStorm Studios;1,000;0;0;0;0
Ducktail Games;1,000;0;0;0;0
Dystopian Ruler;1,000;0;0;0;0
DZTFIX;1,000;1;10000;0;0
D_water;1,000;0;0;0;0
EastFog Studios;2,000;1;35000;0;0
Electronic Arts;4,000;0;0;0;0
EntroPi Games;1,000;0;0;0;0
Erbe Software;1,000;0;0;0;0
Ero Team Triangle;1,000;0;0;0;0
ESDigital Games;2,000;0;0;0;0
Eskrima Games;1,000;0;0;0;0
Eternal Stardust Studios;1,000;0;0;0;0
Etherlight;1,000;0;0;0;0
Excellent Rectangle;1,000;0;0;0;0
Expect Studio;1,000;1;10000;0;0
Fazan;1,000;1;10000;0;0
FHYX（凤凰游戏）;1,000;0;0;0;0
Fibrum Limited;1,000;0;0;0;0
Flat Chest Dev;1,000;0;0;0;0
FlodLab UG (haftungsbeschränkt);1,000;0;0;0;0
Fly & Wing Studio;1,000;0;0;0;0
Flyhigh Works;1,000;0;0;0;0
Flying Jack Productions;1,000;0;0;0;0
FobTi interactive;1,000;1;75000;0;0
Focus Entertainment;1,000;0;0;0;0
Forever Entertainment S. A.;1,000;0;0;0;0
Forward Global Group, Ltd.;1,000;0;0;0;0
Freecity;1,000;0;0;0;0
FreeMind S.A.;1,000;0;0;0;0
Friends Games Corp.;1,000;1;75000;0;0
Frogames Formación SL;1,000;0;0;0;0
Frogwares;1,000;0;0;0;0
Fulqrum Publishing;2,000;1;35000;0;0
FurGoldGames;1,000;1;10000;0;0
Furry Tale;2,000;0;0;0;0
Fury Games Production;1,000;1;10000;0;0
FutureGameStudio;2,000;0;0;0;0
G-DEVS.com;3,000;0;0;0;0
Gaijin Distribution KFT;2,000;0;0;0;0
Game Dynasty;1,000;0;0;0;0
Game for people;2,000;2;35000;0;0
Game for people;2,000;2;350000;0;0
Game River;1,000;0;0;0;0
GameDevWithAI;1,000;0;0;0;0
Gameforge 4D GmbH;1,000;0;0;0;0
GAMELAB;1,000;1;10000;0;0
GameNet;1,000;0;0;0;0
Gamera Game;1,000;0;0;0;0
Gamera Games;1,000;0;0;0;0
Games Incubator;2,000;0;0;0;0
Games Operators;5,000;0;0;0;0
gamester;1,000;0;0;0;0
Gamex Studio;1,000;0;0;0;0
Gaming Corps AB;1,000;0;0;0;0
Gamuzumi;1,000;0;0;0;0
Geniesoft Inc.;2,000;0;0;0;0
Ggame Studio;1,000;0;0;0;0
Giant Head;1,000;1;35000;0;0
gigantumgames;2,000;0;0;0;0
girls Action;1,000;0;0;0;0
Glob Games Studio;1,000;0;0;0;0
Go Play Games Ltd;1,000;0;0;0;0
Goblinz Publishing;1,000;0;0;0;0
GoGo Games Interactive;2,000;0;0;0;0
Golden Dragon Studio;2,000;2;10000;0;0
GooodMon;1,000;0;0;0;0
GosDev Production;2,000;1;35000;0;0
Gotcha Gotcha Games;3,000;0;0;0;0
GrabTheGames;2,000;2;750000;0;0
Graffiti Games;1,000;0;0;0;0
GrandPaw Games;1,000;0;0;0;0
Grassrootz Studio (will save data);1,000;0;0;0;0
Green Man Gaming Publishing;1,000;0;0;0;0
H-Production;1,000;0;0;0;0
H2 Interactive Co., Ltd.;1,000;1;10000;0;0
Haheshark;1,000;0;0;0;0
Halycon Media;1,000;0;0;0;0
Hangover Cat Purrroduction;3,000;2;10000;0;0
Happy Snake Games;1,000;0;0;0;0
Happyland Entertainment;1,000;0;0;0;0
Headup;1,000;0;0;0;0
Hitoshi Kanno;1,000;0;0;0;0
Hityara games;1,000;0;0;0;0
HongbinGame;1,000;1;10000;0;0
Hoochoo Game Studios;1,000;0;0;0;0
HornyStudio;1,000;0;0;0;0
Hot Chill;2,000;0;0;0;0
Howtodrinkwater;1,000;0;0;0;0
HugePixel;1,000;1;10000;0;0
Huhi Games;1,000;0;0;0;0
Hybriona Technologies LLP;1,000;1;35000;0;0
Hype Games;1,000;0;0;0;0
Hype ProductionZ;1,000;0;0;0;0
HypeTrain Digital;7,000;0;0;0;0
Icehelm;1,000;1;75000;0;0
IceLemonTea Studio;1,000;0;0;0;0
IIM Digital School;1,000;0;0;0;0
IKA Games;1,000;1;10000;0;0
ILLUMICORP;3,000;0;0;0;0
INaStudio;1,000;0;0;0;0
inc.ZOFE;1,000;0;0;0;0
Indevelopment Productions;1,000;1;10000;0;0
IndieArk;1,000;0;0;0;0
indiegames3000;1,000;1;10000;0;0
Indovers Studio;1,000;0;0;0;0
infoBoard Europe GmbH;1,000;0;0;0;0
Invent4 Entertainment;1,000;0;0;0;0
iolaCorp Studio;1,000;0;0;0;0
IR Studio;2,000;0;0;0;0
Ironhide Game Studio;1,000;0;0;0;0
IZI Games;1,000;0;0;0;0
James Chen (SCIARC) =;1,000;0;0;0;0
Jamong Inc.;1,000;0;0;0;0
JanduSoft;2,000;1;10000;0;0
Jetdogs Studios;1,000;0;0;0;0
JingtuStudio;1,000;1;10000;0;0
Jofer's Games;1,000;0;0;0;0
Jolly Roger Game;1,000;0;0;0;0
Jormungand Studio;1,000;0;0;0;0
JoyBits Ltd.;1,000;1;10000;0;0
Juice Game;1,000;0;0;0;0
Julian Weiss;1,000;0;0;0;0
Just Us GameLab;1,000;0;0;0;0
Justdan International Co., Ltd.;1,000;0;0;0;0
JustE Publishing;1,000;0;0;0;0
Kakao Games Europe B.V.;2,000;2;750000;0;0
KakaoVX;1,000;0;0;0;0
KAKUKAKU GAMES;1,000;0;0;0;0
Kapi Kapi Games;1,000;0;0;0;0
Kawaii Hentai;1,000;0;0;0;0
KEMCO;1,000;1;10000;0;0
khukhrovr;1,000;0;0;0;0
Kiki Castella;1,000;0;0;0;0
kobold;1,000;0;0;0;0
Kodansha;2,000;0;0;0;0
KomKon Studio;1,000;0;0;0;0
Komodo;1,000;0;0;0;0
KRAFTON, Inc.;8,000;0;0;0;0
Kudev;1,000;0;0;0;0
La Belle Games;1,000;1;35000;0;0
LabOne48;1,000;0;0;0;0
Labscle Entertainment;1,000;1;10000;0;0
Lactecomp;1,000;0;0;0;0
lamb of game;2,000;1;10000;0;0
Land Patricio - Space Indie Studios;1,000;1;10000;0;0
LeaksMemory;1,000;0;0;0;0
leimonya;1,000;1;10000;0;0
Leonardo Interactive;2,000;0;0;0;0
Lesson of Passion;1,000;0;0;0;0
Limansia Games;1,000;0;0;0;0
Liujiajun;1,000;0;0;0;0
Loftstar Entertainment Inc.;1,000;0;0;0;0
Lone Wulf Studio LLC;1,000;0;0;0;0
Lonely One;1,000;0;0;0;0
Loop Entertainment;1,000;0;0;0;0
Louie Inc;1,000;1;10000;0;0
LTide;1,000;0;0;0;0
Lucas Catabriga;1,000;0;0;0;0
LZR GAMES;3,000;1;10000;0;0
Machete Games LLC;1,000;0;0;0;0
Mad Knight;1,000;0;0;0;0
Madmind Studio;1,000;0;0;0;0
Madsoft-Production;1,000;0;0;0;0
Magyu Studio;1,000;0;0;0;0
Making Fun, Inc.;1,000;0;0;0;0
Man of culture;1,000;0;0;0;0
Manager Games S.A.;1,000;0;0;0;0
Mango Council;1,000;0;0;0;0
Maple Whispering Limited;1,000;0;0;0;0
MariLuzaria;2,000;1;10000;0;0
Marvelous Inc.;1,000;0;0;0;0
Mascot Bro Studio;1,000;0;0;0;0
McMagic Productions;2,000;0;0;0;0
MediaCube Games;1,000;0;0;0;0
Meridiem Games;1,000;0;0;0;0
Metal Fox;1,000;1;10000;0;0
MicroProse Software;1,000;0;0;0;0
Mighty Fox Studio;1,000;1;10000;0;0
Mindware Co.,Ltd.;2,000;1;10000;0;0
Mirain Mainklain;1,000;1;10000;0;0
ModMaximuss;1,000;0;0;0;0
Moonworks;1,000;1;35000;0;0
morning glows;1,000;0;0;0;0
Movavi Software;1,000;0;0;0;0
Movie Games S.A.;2,000;0;0;0;0
Musa GUNGOR;1,000;0;0;0;0
MV Games;2,000;0;0;0;0
MY.GAMES;1,000;0;0;0;0
MyDearest Inc.;1,000;0;0;0;0
Mytona Fntastic;1,000;1;3500000;0;0
N/A;1,000;0;0;0;0
N3V Games;1,000;0;0;0;0
NanningsGames;1,000;1;10000;0;0
Narko Games;1,000;1;150000;0;0
NarrativeArea;2,000;0;0;0;0
Nebereal's;1,000;0;0;0;0
Nekyau;4,000;4;10000;0;0
Nekyau Games;1,000;1;10000;0;0
Neon Doctrine;1,000;1;350000;0;0
NerdyBird Studios;1,000;0;0;0;0
Neumont College of Computer Science;2,000;0;0;0;0
NGELGAMES;1,000;1;10000;0;0
NIJICO;5,000;0;0;0;0
NikiGames;2,000;1;10000;0;0
Niko Belik;1,000;0;0;0;0
NIS America, Inc.;1,000;0;0;0;0
NJ No.1;1,000;1;10000;0;0
NRVR Studios;1,000;1;10000;0;0
Nutaku Publishing;1,000;0;0;0;0
Objectif 3D;1,000;0;0;0;0
Okay Studios;1,000;0;0;0;0
okyakusama;3,000;0;0;0;0
OneBrainIndieGames;1,000;0;0;0;0
OPAL Studio;1,000;0;0;0;0
Outright Games Ltd.;1,000;0;0;0;0
Owen6936;1,000;0;0;0;0
OwOInteractive;1,000;0;0;0;0
Paradox Interactive;1,000;0;0;0;0
PeriScope Game;2,000;1;10000;0;0
PetalCatGames;1,000;0;0;0;0
Phoenixx Inc.;1,000;0;0;0;0
Phoenix_co;1,000;0;0;0;0
Phoenix_co;4,000;0;0;0;0
Pico Games;1,000;0;0;0;0
Piece Of Voxel;1,000;0;0;0;0
Pixel;1,000;0;0;0;0
PixelBee;1,000;0;0;0;0
PlatSTUDIO;1,000;1;10000;0;0
PLAYISM;4,000;0;0;0;0
Playtonic Friends;1,000;1;10000;0;0
PlayWay S.A.;16,000;0;0;0;0
Please hire me Jim Ryan/Hiroki Totoki!;1,000;0;0;0;0
PM Studios, Inc.;3,000;0;0;0;0
PolarOwl Studio;1,000;0;0;0;0
Poleacov Grigorii;1,000;0;0;0;0
Polina Medyanik;1,000;1;35000;0;0
Polygon Art;3,000;0;0;0;0
Polyslash;1,000;0;0;0;0
PQube;1,000;0;0;0;0
Pr. JaxRipper;1,000;1;10000;0;0
President Studio;1,000;0;0;0;0
Prestige WWW;1,000;0;0;0;0
Pretty Fly Games;1,000;0;0;0;0
Prince Game Studio;1,000;0;0;0;0
Project Ensō;1,000;0;0;0;0
Protocol Akiba;1,000;0;0;0;0
ProYuga Advanced Technologies Ltd;1,000;0;0;0;0
PseudoZap;1,000;0;0;0;0
PuzzleCraft;1,000;0;0;0;0
PuzzleWord;1,000;0;0;0;0
QiHeShe Technology Co.Ltd;1,000;0;0;0;0
Quarlellle;1,000;0;0;0;0
Raging Usagi Corporation;1,000;0;0;0;0
Ragnar;1,000;1;10000;0;0
RandomSpin;3,000;3;75000;0;0
Raptorsoft Games;1,000;0;0;0;0
Ratalaika Games S.L.;2,000;0;0;0;0
Ravio Karo;1,000;1;10000;0;0
Raw Orange Studios Limited;1,000;0;0;0;0
Reality MagiQ;1,000;0;0;0;0
Reality Reflection;1,000;0;0;0;0
Red Diamond Games;1,000;0;0;0;0
Red × Balloon;1,000;0;0;0;0
Redblack Spade;1,000;1;10000;0;0
Reddiamondgames;6,000;0;0;0;0
Redkar Limited;2,000;0;0;0;0
RedSoup Studio;1,000;0;0;0;0
Reef Entertainment;1,000;0;0;0;0
Remi George;1,000;0;0;0;0
Remix Games;1,000;0;0;0;0
Restless Corp.;2,000;0;0;0;0
Return To Adventure Mountain, LLC;1,000;1;10000;0;0
Reverse Games;1,000;0;0;0;0
Risebins;1,000;0;0;0;0
Ritual Interactive;1,000;1;10000;0;0
rkApps;1,000;0;0;0;0
RMAsia;1,000;0;0;0;0
RoBot;3,000;2;10000;0;0
Robot Gentleman;1,000;0;0;0;0
Rock Path Collective;1,000;0;0;0;0
RockGame S.A.;4,000;0;0;0;0
Rosa Special Studio;1,000;0;0;0;0
