Month;Games this month;Average userscore (metascore);Median playtime;Total copies owned;Average copies owned;Median copies owned;Average price;Median price
All 2023;12304;82.7% (79.72%);00:00:00;0;0;0;7,83;4,99
All 2022;10543;82.95% (78.08%);00:00:00;0;0;0;6,28;3,99
All 2021;10106;82.68% (76.61%);00:00:00;0;0;0;5,58;3,49
All 2020;9457;83.11% (74.08%);00:00:00;0;0;0;5,53;3,49
All 2019;7698;81.57% (73.36%);00:00:00;0;0;0;5,59;3,49
All 2018;8072;80.66% (72.02%);00:00:00;0;0;0;4,95;2,99
All 2017;6210;80.54% (72.97%);00:00:00;0;0;0;5,15;3,49
All 2016;4329;80.23% (71.16%);00:00:00;0;0;0;5,18;3,59
All 2015;2530;77.63% (70.65%);00:00:00;0;0;0;5,12;3,49
All 2014;1361;77.31% (70.14%);00:00:00;0;0;0;5,35;3,74
All 2013;574;78.69% (71.19%);00:00:00;0;0;0;5,78;3,74
All 2012;437;79.72% (71.49%);00:00:00;0;0;0;4,82;3,59
All 2011;346;78.48% (71.11%);00:00:00;0;0;0;4,55;3,29
All 2010;316;81.62% (72.71%);00:00:00;0;0;0;3,87;2,64
All 2009;282;80.88% (72.09%);00:00:00;0;0;0;5,20;3,49
All 2008;194;79.67% (74.16%);00:00:00;0;0;0;4,52;3,49
All 2007;154;83.7% (74.35%);00:00:00;0;0;0;4,88;2,49
All 2006;149;81.79% (73.51%);00:00:00;0;0;0;3,73;2,49
All 2005;89;84.84% (75.92%);00:00:00;0;0;0;3,68;2,49
All 2004;75;82.38% (73.71%);00:00:00;0;0;0;3,43;2,49
