Tag;Games with this tag;Votes for this tag;Tag weight;Price (median);Userscore (median)
Indie;5156;277,615;54;2,49;78,0
Action;3878;442,434;114;2,49;79,0
Adventure;3330;295,180;89;2,99;79,0
Singleplayer;2539;269,015;106;2,99;84,0
Casual;2460;90,894;37;1,99;77,0
Strategy;1842;168,666;92;2,99;77,0
Simulation;1633;141,969;87;3,19;75,0
RPG;1581;188,070;119;2,99;78,0
Multiplayer;1412;317,527;225;2,49;80,0
Great Soundtrack;1275;126,322;99;3,74;87,0
Atmospheric;1111;142,060;128;3,49;84,0
2D;991;57,388;58;2,79;85,0
Puzzle;916;43,193;47;1,99;84,0
Early Access;881;98,833;112;4,99;71,0
Open World;817;244,212;299;3,74;79,0
Story Rich;812;106,699;131;3,74;87,0
Co-op;771;163,884;213;2,99;81,0
Difficult;748;63,220;85;2,99;84,0
Shooter;727;157,987;217;1,99;82,0
Sci-fi;717;78,235;109;3,24;83,0
First-Person;709;168,936;238;2,99;81,0
Horror;684;80,783;118;2,99;79,0
VR;671;12,022;18;4,19;75,0
Anime;666;47,484;71;2,49;85,0
Pixel Graphics;661;44,967;68;2,99;84,0
Funny;656;76,592;117;2,99;86,0
Fantasy;625;58,228;93;3,19;82,0
Platformer;614;42,447;69;2,99;82,0
Female Protagonist;609;40,945;67;3,59;84,0
Free to Play;603;188,995;313;0,00;76,0
FPS;591;170,617;289;1,99;80,0
Survival;564;165,608;294;3,49;77,0
Gore;558;47,132;84;2,99;81,0
Violent;520;27,753;53;2,99;75,0
Sandbox;491;126,581;258;4,99;81,0
Retro;455;17,364;38;2,49;84,0
Arcade;444;14,870;33;2,49;82,0
Comedy;443;59,942;135;2,49;88,0
Classic;436;34,250;79;2,49;88,0
Nudity;404;32,071;79;2,49;81,0
Third Person;403;83,083;206;3,49;81,0
Massively Multiplayer;380;62,851;165;0,00;70,0
Exploration;375;63,436;169;3,99;81,0
Point & Click;365;20,319;56;2,99;84,0
Visual Novel;364;22,247;61;3,49;86,0
Turn-Based;359;26,904;75;3,99;82,0
Space;348;39,393;113;3,49;78,0
Sports;344;15,839;46;2,99;75,5
Rogue-like;334;23,325;70;3,49;82,0
Tactical;319;56,287;176;2,99;81,5
Cute;319;22,419;70;3,04;89,0
Racing;306;31,228;102;2,49;78,0
Psychological Horror;297;25,218;85;2,75;81,0
Online Co-Op;294;76,958;262;1,99;83,0
Zombies;278;78,052;281;1,99;79,5
Family Friendly;270;12,735;47;1,99;85,5
Sexual Content;266;17,814;67;2,49;83,0
Local Co-Op;265;17,631;67;3,44;86,0
Local Multiplayer;260;11,435;44;3,44;84,0
Controller;255;9,190;36;2,99;84,0
Replay Value;241;26,066;108;2,99;85,0
Memes;232;15,814;68;2,09;84,0
Building;231;61,638;267;4,99;76,0
RTS;219;22,771;104;3,49;82,0
Turn-Based Strategy;216;20,679;96;4,24;81,0
Side Scroller;215;9,145;43;2,99;85,0
Fast-Paced;214;17,385;81;2,49;86,0
Crafting;213;71,641;336;4,69;75,0
Action RPG;210;30,705;146;3,86;82,0
Mystery;207;12,752;62;3,19;85,0
Shoot 'Em Up;204;5,809;28;2,49;84,0
Dark;204;25,692;126;2,99;85,0
Survival Horror;201;36,839;183;3,54;79,0
Management;201;15,163;75;4,99;76,0
Hack and Slash;200;21,490;107;3,86;80,0
War;193;33,290;172;3,99;82,0
Historical;192;25,140;131;4,49;83,0
Physics;191;23,305;122;3,34;84,0
Stealth;190;48,548;256;2,99;84,0
Rogue-lite;180;7,523;42;3,74;82,0
PvP;171;46,165;270;0,00;70,0
Realistic;168;32,643;194;4,49;80,0
Short;165;9,946;60;1,99;85,0
Isometric;162;8,688;54;3,74;82,0
