#;Tag;Games with this tag;Votes for this tag;Tag weight;Price (median);Userscore (median);Owners (median);Playtime (median)
1;Indie;5153;277552;54;$4.99;78%;NA;00:00
2;Action;3882;443985;114;$4.99;79%;NA;00:00
3;Adventure;3332;295307;89;$4.99;79%;NA;00:00
4;Singleplayer;2546;271436;107;$9.99;84%;NA;00:00
5;Casual;2460;90894;37;$2.99;77%;NA;00:00
6;Strategy;1849;173110;94;$4.99;77%;NA;00:00
7;Simulation;1636;142435;87;$5.09;75%;NA;00:00
8;RPG;1583;188135;119;$5.99;78%;NA;00:00
9;Multiplayer;1420;320899;226;$5.99;80%;NA;00:00
10;Great Soundtrack;1280;126853;99;$9.99;87%;NA;00:00
11;Atmospheric;1115;142184;128;$9.99;84%;NA;00:00
12;2D;990;57373;58;$4.99;85%;NA;00:00
13;Puzzle;916;43193;47;$4.99;84%;NA;00:00
14;Early Access;881;98833;112;$5.99;71%;NA;00:00
15;Open World;819;244317;298;$9.99;79%;NA;00:00
16;Story Rich;814;106898;131;$9.99;87%;NA;00:00
17;Co-op;775;165124;213;$9.99;81%;NA;00:00
18;Difficult;748;63220;85;$6.99;84%;NA;00:00
19;Shooter;730;159097;218;$4.99;82%;NA;00:00
20;Sci-fi;720;78793;109;$9.99;83%;NA;00:00
21;First-Person;712;169824;239;$7.99;81%;NA;00:00
22;Horror;686;80901;118;$4.99;79%;NA;00:00
23;VR;671;12022;18;$4.99;75%;NA;00:00
24;Anime;666;47484;71;$3.99;85%;NA;00:00
25;Pixel Graphics;661;44967;68;$4.99;84%;NA;00:00
26;Funny;656;76592;117;$6.36;86%;NA;00:00
27;Fantasy;626;58255;93;$9.99;81%;NA;00:00
28;Platformer;614;42447;69;$4.99;82%;NA;00:00
29;Female Protagonist;610;41043;67;$9.99;84%;NA;00:00
30;Free to Play;603;188995;313;$0;76%;NA;00:00
31;FPS;594;172096;290;$4.99;80%;NA;00:00
32;Survival;566;165656;293;$7.99;77%;NA;00:00
33;Gore;560;47479;85;$4.99;81%;NA;00:00
34;Violent;521;28123;54;$3.99;75%;NA;00:00
35;Sandbox;491;126581;258;$9.99;81%;NA;00:00
36;Retro;455;17364;38;$4.99;84%;NA;00:00
37;Comedy;444;60012;135;$4.99;88%;NA;00:00
38;Arcade;444;14870;33;$4.99;82%;NA;00:00
39;Classic;439;34736;79;$9.99;88%;NA;00:00
40;Nudity;404;32071;79;$3.99;81%;NA;00:00
41;Third Person;403;83083;206;$9.99;81%;NA;00:00
42;Massively Multiplayer;381;62952;165;$0;70%;NA;00:00
43;Exploration;375;63436;169;$9.99;81%;NA;00:00
44;Point & Click;365;20319;56;$5.99;84%;NA;00:00
45;Visual Novel;364;22247;61;$6.99;86%;NA;00:00
46;Turn-Based;363;29108;80;$9.99;82%;NA;00:00
47;Space;348;39393;113;$7.99;78%;NA;00:00
48;Sports;344;15839;46;$4.99;75.5%;NA;00:00
49;Rogue-like;334;23325;70;$7.99;82%;NA;00:00
50;Tactical;323;57080;177;$9.99;81%;NA;00:00
51;Cute;319;22419;70;$5.59;89%;NA;00:00
52;Racing;306;31228;102;$3.99;78%;NA;00:00
53;Psychological Horror;298;25326;85;$4.99;81%;NA;00:00
54;Online Co-Op;297;77162;260;$4.99;83%;NA;00:00
